Descrição da Unidade,Lat,Long
UMS VITORIA REGIA PSF,-25.531321,-49.314838
UMS WALDEMAR MONASTIER PSF,-25.497402,-49.227596
UMS XAPINHAL PSF,-25.53367,-49.28009
UMS XAXIM,-25.51649,-49.27729
UPA BOA VISTA,-25.385328,-49.232841
UPA BOQUEIRAO,-25.49157,-49.24644
UPA CAJURU,-25.46958,-49.205921
UPA CAMPO COMPRIDO,-25.44189,-49.33983
UPA CIDADE INDUSTRIAL,-25.49754,-49.33923
UPA FAZENDINHA,-25.47828,-49.32609
UPA PINHEIRINHO,-25.515663,-49.294991
UPA SITIO CERCADO,-25.533409,-49.266708
UPA TATUQUARA,-25.57582,-49.33621
